#queryIndex	queryItem	stringId	preferredName	annotation
24	ADD2	9606.ENSP00000264436	ADD2	Beta-adducin; Membrane-cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Binds to the erythrocyte membrane receptor SLC2A1/GLUT1 and may therefore provide a link between the spectrin cytoskeleton to the plasma membrane. Binds to calmodulin. Calmodulin binds preferentially to the beta subunit; Belongs to the aldolase class II family. Adducin subfamily
25	RTN4	9606.ENSP00000337838	RTN4	Reticulon-4; Developmental neurite growth regulatory factor with a role as a negative regulator of axon-axon adhesion and growth, and as a facilitator of neurite branching. Regulates neurite fasciculation, branching and extension in the developing nervous system. Involved in down-regulation of growth, stabilization of wiring and restriction of plasticity in the adult CNS. Regulates the radial migration of cortical neurons via an RTN4R-LINGO1 containing receptor complex (By similarity). Isoform 2 reduces the anti-apoptotic activity of Bcl-xl and Bcl-2. This is likely consecutive to thei [...] 
26	CUBN	9606.ENSP00000367064	CUBN	Cubilin; Cotransporter which plays a role in lipoprotein, vitamin and iron metabolism, by facilitating their uptake. Binds to ALB, MB, Kappa and lambda-light chains, TF, hemoglobin, GC, SCGB1A1, APOA1, high density lipoprotein, and the GIF-cobalamin complex. The binding of all ligands requires calcium. Serves as important transporter in several absorptive epithelia, including intestine, renal proximal tubules and embryonic yolk sac. Interaction with LRP2 mediates its trafficking throughout vesicles and facilitates the uptake of specific ligands like GC, hemoglobin, ALB, TF and SCGB1A1. [...] 
27	ACTB	9606.ENSP00000349960	ACTB	Actin, cytoplasmic 1; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
28	SIGMAR1	9606.ENSP00000277010	SIGMAR1	Sigma non-opioid intracellular receptor 1; Functions in lipid transport from the endoplasmic reticulum and is involved in a wide array of cellular functions probably through regulation of the biogenesis of lipid microdomains at the plasma membrane. Involved in the regulation of different receptors it plays a role in BDNF signaling and EGF signaling. Also regulates ion channels like the potassium channel and could modulate neurotransmitter release. Plays a role in calcium signaling through modulation together with ANK2 of the ITP3R-dependent calcium efflux at the endoplasmic reticulum.  [...] 
29	CTNND2	9606.ENSP00000307134	CTNND2	Catenin delta-2; Has a critical role in neuronal development, particularly in the formation and/or maintenance of dendritic spines and synapses. Involved in the regulation of Wnt signaling. It probably acts on beta- catenin turnover, facilitating beta-catenin interaction with GSK3B, phosphorylation, ubiquitination and degradation (By similarity). Functions as a transcriptional activator when bound to ZBTB33 (By similarity). May be involved in neuronal cell adhesion and tissue morphogenesis and integrity by regulating adhesion molecules
30	NAPG	9606.ENSP00000324628	NAPG	Gamma-soluble NSF attachment protein; Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus; Belongs to the SNAP family
31	SNPH	9606.ENSP00000371297	SNPH	Syntaphilin; Inhibits SNARE complex formation by absorbing free syntaxin-1
32	COPS5	9606.ENSP00000350512	COPS5	COP9 signalosome complex subunit 5; Probable protease subunit of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of the SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8, possibly via its association with CK2 and PKD  [...] 
33	BCR	9606.ENSP00000303507	BCR	Breakpoint cluster region protein; GTPase-activating protein for RAC1 and CDC42. Promotes the exchange of RAC or CDC42-bound GDP by GTP, thereby activating them. Displays serine/threonine kinase activity; C2 domain containing
34	PIP5K1C	9606.ENSP00000466363	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma; Catalyzes the phosphorylation of phosphatidylinositol 4- phosphate (PtdIns4P) to form phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2). PtdIns(4,5)P2 is involved in a variety of cellular processes and is the substrate to form phosphatidylinositol 3,4,5-trisphosphate (PtdIns(3,4,5)P3), another second messenger. The majority of PtdIns(4,5)P2 is thought to occur via type I phosphatidylinositol 4-phosphate 5-kinases given the abundance of PtdIns4P. Participates in a variety of cellular processes such as vesicle mediated transport [...] 
35	PTPRA	9606.ENSP00000369756	PTPRA	Receptor-type tyrosine-protein phosphatase alpha; Protein tyrosine phosphatase, receptor type A; Belongs to the protein-tyrosine phosphatase family. Receptor class 4 subfamily
36	IGSF11	9606.ENSP00000377370	IGSF11	Immunoglobulin superfamily member 11; Functions as a cell adhesion molecule through homophilic interaction. Stimulates cell growth; I-set domain containing
37	NUMB	9606.ENSP00000451300	NUMB	Protein numb homolog; Plays a role in the process of neurogenesis. Required throughout embryonic neurogenesis to maintain neural progenitor cells, also called radial glial cells (RGCs), by allowing their daughter cells to choose progenitor over neuronal cell fate. Not required for the proliferation of neural progenitor cells before the onset of neurogenesis. Also involved postnatally in the subventricular zone (SVZ) neurogenesis by regulating SVZ neuroblasts survival and ependymal wall integrity. May also mediate local repair of brain ventricular wall damage
38	SYPL1	9606.ENSP00000011473	SYPL1	Synaptophysin-like protein 1; Synaptophysin like 1; Belongs to the synaptophysin/synaptobrevin family
39	DAGLB	9606.ENSP00000297056	DAGLB	Sn1-specific diacylglycerol lipase beta; Catalyzes the hydrolysis of diacylglycerol (DAG) to 2- arachidonoyl-glycerol (2-AG), the most abundant endocannabinoid in tissues. Required for axonal growth during development and for retrograde synaptic signaling at mature synapses; Belongs to the AB hydrolase superfamily. Lipase family
40	CHRNA9	9606.ENSP00000312663	CHRNA9	Neuronal acetylcholine receptor subunit alpha-9; Ionotropic receptor with a probable role in the modulation of auditory stimuli. Agonist binding induces a conformation change that leads to the opening of an ion-conducting channel across the plasma membrane. The channel is permeable to a range of divalent cations including calcium, the influx of which may activate a potassium current which hyperpolarizes the cell membrane. In the ear, this may lead to a reduction in basilar membrane motion, altering the activity of auditory nerve fibers and reducing the range of dynamic hearing. This ma [...] 
41	PLCB3	9606.ENSP00000443631	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3; The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes; C2 domain containing phospholipases
42	PLEKHA5	9606.ENSP00000404296	PLEKHA5	Pleckstrin homology domain containing A5
43	TNR	9606.ENSP00000356646	TNR	Tenascin-R; Neural extracellular matrix (ECM) protein involved in interactions with different cells and matrix components. These interactions can influence cellular behavior by either evoking a stable adhesion and differentiation, or repulsion and inhibition of neurite growth. Binding to cell surface gangliosides inhibits RGD-dependent integrin-mediated cell adhesion and results in an inhibition of PTK2/FAK1 (FAK) phosphorylation and cell detachment. Binding to membrane surface sulfatides results in a oligodendrocyte adhesion and differentiation. Interaction with CNTN1 induces a repuls [...] 
44	PLCB4	9606.ENSP00000367762	PLCB4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4; The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. This form has a role in retina signal transduction; C2 domain containing phospholipases
45	CPLX1	9606.ENSP00000305613	CPLX1	Complexin-1; Positively regulates a late step in exocytosis of various cytoplasmic vesicles, such as synaptic vesicles and other secretory vesicles. Organizes the SNAREs into a cross-linked zigzag topology that, when interposed between the vesicle and plasma membranes, is incompatible with fusion, thereby preventing SNAREs from releasing neurotransmitters until an action potential arrives at the synapse. Also involved in glucose-induced secretion of insulin by pancreatic beta-cells. Essential for motor behavior
46	STX3	9606.ENSP00000338562	STX3	Syntaxin-3; Potentially involved in docking of synaptic vesicles at presynaptic active zones; Belongs to the syntaxin family
47	EGFR	9606.ENSP00000275493	EGFR	Epidermal growth factor receptor; Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses. Known ligands include EGF, TGFA/TGF-alpha, amphiregulin, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF. Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates  [...] 
49	DYNLL2	9606.ENSP00000477310	DYNLL2	Dynein light chain 2, cytoplasmic; Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be involved in linking dynein to cargos and to adapter proteins that regulate dynein function. Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. May play a role in changing or maintaining the spatial distribution of cytoskeletal structures (By similarity); Belongs to the dynein light chain family
50	CDKL5	9606.ENSP00000369325	CDKL5	Cyclin-dependent kinase-like 5; Mediates phosphorylation of MECP2; Cilia and flagella associated
51	CRYAB	9606.ENSP00000433560	CRYAB	Alpha-crystallin B chain; May contribute to the transparency and refractive index of the lens. Has chaperone-like activity, preventing aggregation of various proteins under a wide range of stress conditions; Small heat shock proteins
52	RNF19A	9606.ENSP00000428968	RNF19A	E3 ubiquitin-protein ligase RNF19A; E3 ubiquitin-protein ligase which accepts ubiquitin from E2 ubiquitin-conjugating enzymes UBE2L3 and UBE2L6 in the form of a thioester and then directly transfers the ubiquitin to targeted substrates, such as SNCAIP or CASR. Specifically ubiquitinates pathogenic SOD1 variants, which leads to their proteasomal degradation and to neuronal protection; Belongs to the RBR family. RNF19 subfamily
53	PSD2	9606.ENSP00000274710	PSD2	Pleckstrin and Sec7 domain containing 2
54	LRRTM3	9606.ENSP00000355187	LRRTM3	Leucine-rich repeat transmembrane neuronal protein 3; Exhibits a limited synaptogenic activity in vitro, restricted to excitatory presynaptic differentiation (By similarity). May play a role in the development and maintenance of the vertebrate nervous system; Belongs to the LRRTM family
55	RAB27B	9606.ENSP00000262094	RAB27B	Ras-related protein Rab-27B; May be involved in targeting uroplakins to urothelial apical membranes; RAB, member RAS oncogene GTPases
56	SPOCK1	9606.ENSP00000378401	SPOCK1	Testican-1; May play a role in cell-cell and cell-matrix interactions. May contribute to various neuronal mechanisms in the central nervous system; SPARC family
57	RAB3GAP1	9606.ENSP00000411418	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit; Probable catalytic subunit of a GTPase activating protein that has specificity for Rab3 subfamily (RAB3A, RAB3B, RAB3C and RAB3D). Rab3 proteins are involved in regulated exocytosis of neurotransmitters and hormones. Specifically converts active Rab3-GTP to the inactive form Rab3-GDP. Required for normal eye and brain development. May participate in neurodevelopmental processes such as proliferation, migration and differentiation before synapse formation, and non-synaptic vesicular release of neurotransmitters
58	ADAM23	9606.ENSP00000264377	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23; May play a role in cell-cell and cell-matrix interactions. This is a non-catalytic metalloprotease-like protein; ADAM metallopeptidase domain containing
59	KIAA1107	9606.ENSP00000359404	KIAA1107	Uncharacterized protein KIAA1107; KIAA1107
60	GLRA4	9606.ENSP00000361700	GLRA4	Glycine receptor subunit alpha-4; Glycine receptors are ligand-gated chloride channels. Channel opening is triggered by extracellular glycine. Channel opening is also triggered by taurine and beta-alanine. Plays a role in the down-regulation of neuronal excitability. Contributes to the generation of inhibitory postsynaptic currents
61	ADRB1	9606.ENSP00000358301	ADRB1	Beta-1 adrenergic receptor; Beta-adrenergic receptors mediate the catecholamine- induced activation of adenylate cyclase through the action of G proteins. This receptor binds epinephrine and norepinephrine with approximately equal affinity. Mediates Ras activation through G(s)-alpha- and cAMP-mediated signaling; Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB1 sub-subfamily
62	CHRNE	9606.ENSP00000293780	CHRNE	Acetylcholine receptor subunit epsilon; After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane; Cholinergic receptors nicotinic subunits
63	GUCY1B1	9606.ENSP00000264424	GUCY1B3	Guanylate cyclase soluble subunit beta-1; Mediates responses to nitric oxide (NO) by catalyzing the biosynthesis of the signaling molecule cGMP; Belongs to the adenylyl cyclase class-4/guanylyl cyclase family
64	NEDD4	9606.ENSP00000424827	NEDD4	E3 ubiquitin-protein ligase NEDD4; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Specifically ubiquitinates 'Lys-63' in target proteins. Involved in the pathway leading to the degradation of VEGFR-2/KDFR, independently of its ubiquitin-ligase activity. Monoubiquitinates IGF1R at multiple sites, thus leading to receptor internalization and degradation in lysosomes. Ubiquitinates FGFR1, leading to receptor internalization and degradation in lysosomes. [...] 
65	RIMS3	9606.ENSP00000361769	RIMS3	Regulating synaptic membrane exocytosis protein 3; Regulates synaptic membrane exocytosis
66	CACNG8	9606.ENSP00000270458	CACNG8	Voltage-dependent calcium channel gamma-8 subunit; Regulates the trafficking and gating properties of AMPA- selective glutamate receptors (AMPARs). Promotes their targeting to the cell membrane and synapses and modulates their gating properties by slowing their rates of activation, deactivation and desensitization and by mediating their resensitization. Does not show subunit-specific AMPA receptor regulation and regulates all AMPAR subunits. Thought to stabilize the calcium channel in an inactivated (closed) state
67	NPTN	9606.ENSP00000290401	NPTN	Neuroplastin; Probable homophilic and heterophilic cell adhesion molecule involved in long term potentiation at hippocampal excitatory synapses through activation of p38MAPK. May also regulate neurite outgrowth by activating the FGFR1 signaling pathway. May play a role in synaptic plasticity (By similarity); I-set domain containing
68	CHRNA2	9606.ENSP00000385026	CHRNA2	Neuronal acetylcholine receptor subunit alpha-2; After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane; Cholinergic receptors nicotinic subunits
69	P2RX6	9606.ENSP00000416193	P2RX6	P2X purinoceptor 6; Receptor for ATP that acts as a ligand-gated ion channel; Belongs to the P2X receptor family
70	CACNG7	9606.ENSP00000375647	CACNG7	Voltage-dependent calcium channel gamma-7 subunit; Regulates the trafficking and gating properties of AMPA- selective glutamate receptors (AMPARs). Promotes their targeting to the cell membrane and synapses and modulates their gating properties by slowing their rates of activation, deactivation and desensitization and by mediating their resensitization. Displays subunit-specific AMPA receptor regulation. Shows specificity only for GRIA1 and GRIA2. Thought to stabilize the calcium channel in an inactivated (closed) state; Belongs to the PMP-22/EMP/MP20 family. CACNG subfamily
71	GRM8	9606.ENSP00000344173	GRM8	Metabotropic glutamate receptor 8; G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity
72	INSYN1	9606.ENSP00000457205	C15orf59	UPF0583 protein C15orf59; Chromosome 15 open reading frame 59
73	BLVRB	9606.ENSP00000263368	BLVRB	Flavin reductase (NADPH); Broad specificity oxidoreductase that catalyzes the NADPH-dependent reduction of a variety of flavins, such as riboflavin, FAD or FMN, biliverdins, methemoglobin and PQQ (pyrroloquinoline quinone). Contributes to heme catabolism and metabolizes linear tetrapyrroles. Can also reduce the complexed Fe(3+) iron to Fe(2+) in the presence of FMN and NADPH. In the liver, converts biliverdin to bilirubin; Short chain dehydrogenase/reductase superfamily
74	P2RY1	9606.ENSP00000304767	P2RY1	P2Y purinoceptor 1; Receptor for extracellular adenine nucleotides such as ATP and ADP. In platelets binding to ADP leads to mobilization of intracellular calcium ions via activation of phospholipase C, a change in platelet shape, and probably to platelet aggregation; Belongs to the G-protein coupled receptor 1 family
75	DGKE	9606.ENSP00000284061	DGKE	Diacylglycerol kinase epsilon; Highly selective for arachidonate-containing species of diacylglycerol (DAG). May terminate signals transmitted through arachidonoyl-DAG or may contribute to the synthesis of phospholipids with defined fatty acid composition
76	RAB21	9606.ENSP00000261263	RAB21	Ras-related protein Rab-21; Regulates integrin internalization and recycling, but does not influence the traffic of endosomally translocated receptors in general. As a result, may regulate cell adhesion and migration (By similarity). During the mitosis of adherent cells, controls the endosomal trafficking of integrins which is required for the successful completion of cytokinesis. Involved in neurite growth (By similarity); RAB, member RAS oncogene GTPases
77	EFNB3	9606.ENSP00000226091	EFNB3	Ephrin-B3; Cell surface transmembrane ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. May play a pivotal role in forebrain function. Binds to, an [...] 
78	FMR1	9606.ENSP00000359506	FMR1	Synaptic functional regulator FMR1; Multifunctional polyribosome-associated RNA-binding protein that plays a central role in neuronal development and synaptic plasticity through the regulation of alternative mRNA splicing, mRNA stability, mRNA dendritic transport and postsynaptic local protein synthesis of a subset of mRNAs. Plays a role in the alternative splicing of its own mRNA. Plays a role in mRNA nuclear export (By similarity). Together with export factor NXF2, is involved in the regulation of the NXF1 mRNA stability in neurons (By similarity). Stabilizes the scaffolding postsyna [...] 
79	COMT	9606.ENSP00000354511	COMT	Catechol O-methyltransferase; Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones. Also shortens the biological half-lives of certain neuroactive drugs, like L-DOPA, alpha-methyl DOPA and isoproterenol; Seven-beta-strand methyltransferase motif containing
80	WHRN	9606.ENSP00000354623	DFNB31	Whirlin; Necessary for elongation and maintenance of inner and outer hair cell stereocilia in the organ of Corti in the inner ear
81	DLGAP2	9606.ENSP00000400258	DLGAP2	Disks large-associated protein 2; May play a role in the molecular organization of synapses and neuronal cell signaling. Could be an adapter protein linking ion channel to the subsynaptic cytoskeleton. May induce enrichment of PSD-95/SAP90 at the plasma membrane; Belongs to the SAPAP family
82	SLITRK1	9606.ENSP00000366288	SLITRK1	SLIT and NTRK-like protein 1; It is involved in synaptogenesis and promotes excitatory synapse differentiation. Enhances neuronal dendrite outgrowth
83	ATP6V0D1	9606.ENSP00000290949	ATP6V0D1	V-type proton ATPase subunit d 1; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. May play a role in coupling of proton transport and ATP hydrolysis (By similarity). May play a role in cilium biogenesis through regulation of the transport and the localization of proteins to the cilium (By similarity). In aerobic conditions, involved in intracellular iron homeostasis, thus tri [...] 
84	RAB33B	9606.ENSP00000306496	RAB33B	Ras-related protein Rab-33B; Protein transport. Acts, in coordination with RAB6A, to regulate intra-Golgi retrograde trafficking. It is involved in autophagy, acting as a modulator of autophagosome formation; RAB, member RAS oncogene GTPases
85	VPS35	9606.ENSP00000299138	VPS35	Vacuolar protein sorting-associated protein 35; Acts as component of the retromer cargo-selective complex (CSC). The CSC is believed to be the core functional component of retromer or respective retromer complex variants acting to prevent missorting of selected transmembrane cargo proteins into the lysosomal degradation pathway. The recruitment of the CSC to the endosomal membrane involves RAB7A and SNX3. The CSC seems to associate with the cytoplasmic domain of cargo proteins predominantly via VPS35; however, these interactions seem to be of low affinity and retromer SNX proteins may  [...] 
86	SLC6A1	9606.ENSP00000287766	SLC6A1	Sodium- and chloride-dependent GABA transporter 1; Terminates the action of GABA by its high affinity sodium-dependent reuptake into presynaptic terminals; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family. SLC6A1 subfamily
87	LRFN5	9606.ENSP00000298119	LRFN5	Leucine-rich repeat and fibronectin type-III domain-containing protein 5; Cell adhesion molecule that mediates homophilic cell- cell adhesion in a Ca(2+)-independent manner. Promotes neurite outgrowth in hippocampal neurons; Belongs to the LRFN family
88	NRP2	9606.ENSP00000353582	NRP2	Neuropilin-2; High affinity receptor for semaphorins 3C, 3F, VEGF-165 and VEGF-145 isoforms of VEGF, and the PLGF-2 isoform of PGF
89	NCS1	9606.ENSP00000361475	NCS1	Neuronal calcium sensor 1; Neuronal calcium sensor, regulator of G protein-coupled receptor phosphorylation in a calcium dependent manner. Directly regulates GRK1 (RHOK), but not GRK2 to GRK5. Can substitute for calmodulin (By similarity). Stimulates PI4KB kinase activity (By similarity). Involved in long-term synaptic plasticity through its interaction with PICK1 (By similarity). May also play a role in neuron differentiation through inhibition of the activity of N- type voltage-gated calcium channel (By similarity); Belongs to the recoverin family
